id,stratum,description,expected,actual,diff,tolerance,passed,assumption_flagged
III-11_equal_domains_convergence_additive,III,"Sanity check: when all domains are equal, additive and multiplicative MUST agree exactly.",0.7,0.7,0.0,1e-09,True,False
III-11_equal_domains_convergence_multiplicative,III,"Sanity check: when all domains are equal, additive and multiplicative MUST agree exactly.",0.7,0.6999999999999998,-1.1102230246251565e-16,1e-09,True,False
III-12_near_zero_collapse_additive,III,"Stress case: one domain near zero (.01) among two very strong domains (.99, .99). Demonstrates the multiplicative form's dramatic collapse behavior vs. the additive form's compensation.",0.663333,0.6633333333333332,3.333333332689037e-07,0.0001,True,False
III-12_near_zero_collapse_multiplicative,III,"Stress case: one domain near zero (.01) among two very strong domains (.99, .99). Demonstrates the multiplicative form's dramatic collapse behavior vs. the additive form's compensation.",0.214005,0.21400477469184923,-2.2530815077526078e-07,0.0001,True,False
III-13_unequal_weights_additive,III,"Non-equal beta weights, moderate domain spread — smaller but still material divergence.",0.66,0.6599999999999999,-1.1102230246251565e-16,0.0001,True,False
III-13_unequal_weights_multiplicative,III,"Non-equal beta weights, moderate domain spread — smaller but still material divergence.",0.638855,0.6388551010990309,1.0109903092470063e-07,0.0001,True,False
IV-14_half_environment_dom0,IV,Reviewer's own example: a hostile environment (EOC=.5) cuts realized capacity in half.,0.4,0.4,0.0,1e-09,True,False
IV-15_no_environment_dependency_dom0,IV,Sanity check: EOC=1.0 (no physical dependency) must leave the domain score unchanged.,0.8,0.8,0.0,1e-09,True,False
IV-16_weak_domain_mild_environment_compounding_dom0,IV,An already-weak domain (.3) under only a mild environmental penalty (.9) is further reduced.,0.27,0.27,0.0,1e-09,True,False
RELATIONAL:I-5 > I-1 (raising the highest-weight in,I-cross,I-5 > I-1 (raising the highest-weight indicator must increase NOF),,,,,True,False
RELATIONAL:I-6 > I-1 (raising the lowest-weight ind,I-cross,I-6 > I-1 (raising the lowest-weight indicator must also increase NOF),,,,,True,False
RELATIONAL:(I-5 - I-1) > (I-6 - I-1)  [equal-delta ,I-cross,(I-5 - I-1) > (I-6 - I-1)  [equal-delta raise on higher-weight indicator moves score more],,,,,True,False
ORDERING:S1_clearly_resilient>S6_balanced_moderate,Scenario,S1_clearly_resilient > S6_balanced_moderate (additive composite),,,,,True,False
ORDERING:S6_balanced_moderate>S2_clearly_fragile,Scenario,S6_balanced_moderate > S2_clearly_fragile (additive composite),,,,,True,False
ORDERING:S1_clearly_resilient>S3_strong_institutions_hostile_environment,Scenario,S1_clearly_resilient > S3_strong_institutions_hostile_environment (additive composite),,,,,True,False
ORDERING:S5_mult_collapse_gap,Scenario,One catastrophic weak domain: multiplicative composite must fall well below additive (gap > 0.10),,0.1651205296385267,,,True,False
